fips,year,laborfc,employed,unemplvl,unemprate
13135,2015,450568,427100,23468,5.2
13137,2015,18739,17663,1076,5.7
13139,2015,92394,87887,4507,4.9
13141,2015,2478,2234,244,9.800000000000001
13143,2015,11820,11044,776,6.6
13145,2015,15635,14812,823,5.3
13147,2015,10359,9714,645,6.2
13149,2015,4891,4576,315,6.4
13151,2015,104603,98130,6473,6.2
13153,2015,65413,61586,3827,5.9
13155,2015,3121,2859,262,8.4
13157,2015,30617,29129,1488,4.9
13159,2015,6414,6059,355,5.5
13161,2015,6318,5895,423,6.7
13163,2015,6341,5766,575,9.1
13165,2015,3093,2834,259,8.4
13167,2015,3856,3585,271,7
13169,2015,13421,12677,744,5.5
13171,2015,7651,7060,591,7.7
13173,2015,3766,3514,252,6.7
13175,2015,18566,17158,1408,7.6
13177,2015,14070,13319,751,5.3
13179,2015,24869,23291,1578,6.3
13181,2015,3351,3124,227,6.8
13183,2015,7056,6640,416,5.9
13185,2015,50156,47179,2977,5.9
13187,2015,15257,14429,828,5.4
13189,2015,8750,8019,731,8.4
13191,2015,5795,5417,378,6.5
13193,2015,4598,4174,424,9.199999999999999
13195,2015,12574,11873,701,5.6
13197,2015,3432,3141,291,8.5
13199,2015,8636,7941,695,8
13201,2015,2660,2515,145,5.5
13205,2015,8682,8095,587,6.8
13207,2015,12618,11881,737,5.8
13209,2015,3696,3374,322,8.699999999999999
13211,2015,8388,7925,463,5.5
13213,2015,16004,14820,1184,7.4
13215,2015,78576,72687,5889,7.5
13217,2015,48236,44962,3274,6.8
13219,2015,17517,16738,779,4.4
13221,2015,6699,6326,373,5.6
13223,2015,76015,72045,3970,5.2
13225,2015,11242,10347,895,8
13227,2015,13817,13079,738,5.3
13229,2015,8012,7510,502,6.3
13231,2015,8194,7723,471,5.7
13233,2015,18074,16872,1202,6.7
13235,2015,3996,3732,264,6.6
13237,2015,7770,7140,630,8.1
13239,2015,813,757,56,6.9
13241,2015,6476,6040,436,6.7
13243,2015,2416,2195,221,9.1
13245,2015,83946,77701,6245,7.4
13247,2015,42097,39339,2758,6.6
13249,2015,2101,1961,140,6.7
13251,2015,5020,4601,419,8.300000000000001
13253,2015,3077,2827,250,8.1
13255,2015,27004,24822,2182,8.1
13257,2015,10818,10108,710,6.6
13259,2015,2106,1960,146,6.9
13261,2015,12781,11713,1068,8.4
13263,2015,2685,2477,208,7.7
13265,2015,590,544,46,7.8
13267,2015,9238,8666,572,6.2
13269,2015,2762,2507,255,9.199999999999999
13271,2015,4805,4385,420,8.699999999999999
13273,2015,3617,3346,271,7.5
13275,2015,16746,15530,1216,7.3
13277,2015,18271,17150,1121,6.1
13279,2015,11816,10780,1036,8.800000000000001
13281,2015,3900,3591,309,7.9
13283,2015,2689,2460,229,8.5
13285,2015,35450,33286,2164,6.1
13287,2015,3179,2963,216,6.8
13289,2015,2953,2683,270,9.1
13291,2015,9790,9265,525,5.4
13293,2015,11085,10278,807,7.3
13295,2015,29277,27521,1756,6
13297,2015,41501,39247,2254,5.4
13299,2015,14428,13485,943,6.5
13301,2015,2629,2423,206,7.8
13303,2015,7168,6665,503,7
13305,2015,11521,10683,838,7.3
13307,2015,965,874,91,9.4
13309,2015,1687,1503,184,10.9
13311,2015,13726,13012,714,5.2
13313,2015,45411,42498,2913,6.4
13315,2015,2732,2517,215,7.9
13317,2015,3874,3593,281,7.3
13319,2015,3589,3325,264,7.4
13321,2015,8808,8235,573,6.5
15001,2015,89882,85982,3900,4.3
15003,2015,462771,447183,15588,3.4
15007,2015,36014,34602,1412,3.9
15009,2015,85146,82040,3106,3.6
16001,2015,217294,209558,7736,3.6
16003,2015,1715,1587,128,7.5
16005,2015,41904,40263,1641,3.9
16007,2015,2830,2706,124,4.4
16009,2015,4036,3776,260,6.4
16011,2015,22061,21177,884,4
16013,2015,11830,11418,412,3.5
16015,2015,3051,2862,189,6.2
16017,2015,18529,17446,1083,5.8
16019,2015,51022,49281,1741,3.4
16021,2015,5091,4816,275,5.4
16023,2015,1277,1220,57,4.5
16025,2015,648,626,22,3.4
16027,2015,90998,86548,4450,4.9
16029,2015,3766,3614,152,4
16031,2015,11466,11090,376,3.3
16033,2015,395,381,14,3.5
16035,2015,3084,2841,243,7.9
16037,2015,2130,1991,139,6.5
16039,2015,10742,10246,496,4.6
16041,2015,6456,6258,198,3.1
16043,2015,7180,6924,256,3.6
16045,2015,7534,7145,389,5.2
16047,2015,7982,7710,272,3.4
16049,2015,6397,6007,390,6.1
16051,2015,12474,12056,418,3.4
16053,2015,11336,10969,367,3.2
16055,2015,71608,68042,3566,5
16057,2015,19483,18824,659,3.4
16059,2015,3377,3145,232,6.9
16061,2015,1592,1502,90,5.7
16063,2015,2641,2524,117,4.4
16065,2015,19783,19263,520,2.6
16067,2015,10689,10305,384,3.6
16069,2015,20628,19878,750,3.6
16071,2015,2127,2053,74,3.5
16073,2015,5215,4970,245,4.7
16075,2015,11101,10561,540,4.9
16077,2015,3877,3700,177,4.6
16079,2015,5124,4733,391,7.6
16081,2015,5826,5629,197,3.4
16083,2015,39033,37618,1415,3.6
16085,2015,4792,4502,290,6.1
16087,2015,4566,4305,261,5.7
17001,2015,32540,30931,1609,4.9
17003,2015,2293,2084,209,9.1
17005,2015,7785,7375,410,5.3
17007,2015,26308,24600,1708,6.5
17009,2015,2779,2681,98,3.5
17011,2015,17118,16024,1094,6.4
17013,2015,2342,2185,157,6.7
17015,2015,7940,7509,431,5.4
17017,2015,6430,6068,362,5.6
17019,2015,107281,101892,5389,5
17021,2015,15407,14394,1013,6.6
17023,2015,8085,7585,500,6.2
17025,2015,6621,6155,466,7
17027,2015,20090,19190,900,4.5
17029,2015,24099,22648,1451,6
17031,2015,2646181,2481097,165084,6.2
17033,2015,9636,9069,567,5.9
17035,2015,5910,5600,310,5.2
17037,2015,54770,51734,3036,5.5
17039,2015,7969,7529,440,5.5
17041,2015,10158,9665,493,4.9
17043,2015,511538,487123,24415,4.8
17045,2015,9435,8849,586,6.2
17047,2015,2946,2771,175,5.9
17049,2015,18425,17547,878,4.8
17051,2015,9704,9071,633,6.5
17053,2015,6654,6304,350,5.3
17055,2015,16494,15168,1326,8
17057,2015,15792,14595,1197,7.6
17059,2015,2467,2303,164,6.6
